miRNA	DP	SP_CD4	SP_CD8	SP_nTreg	Th1	Th2	Th17
mmu-mir-92b_3p	124.7014851434	172.9905825178	68.1507997855	229.1465535966	137.7672316538	172.9724971529	210.8674539366
mmu-mir-382_3p	0.488068435	1.5645143122	0.5978140332	3.2350101684	0	0	1.0286217265
mmu-mir-363_3p	429.0121543682	107.2809814064	155.0331059448	276.8629535808	917.6938387778	77.2434433851	36.8246578094
mmu-mir-340_5p	375.3246265178	250.0987879037	1085.6302843022	212.4323343931	1644.7200920636	1250.4195023192	643.9172008015
mmu-mir-331_3p	41.2417827578	78.0022135642	42.8433390464	78.9881649456	155.589275995	61.3986344856	264.9729567515
mmu-mir-330_5p	0.488068435	5.3640490703	5.1810549545	5.9308519754	13.012921265	18.4856103828	14.194979826
mmu-mir-326_3p	0	0.8940081784	2.5905274772	5.9308519754	16.6904859704	20.6862782855	19.9552614945
mmu-mir-324_5p	1.7082395225	3.5760327135	4.3839695768	22.3754869983	59.4068144708	33.4501521212	25.9212675083
mmu-mir-32_5p	0.488068435	3.5760327135	3.3876128548	4.5829310719	6.5064606325	2.6408014833	4.9373842873
mmu-mir-30e_5p	717.7046336729	375.0364308333	457.7262780914	202.4577197071	544.5624659825	364.2105378983	572.1194042904
mmu-mir-30d_5p	3152.6780559063	2743.2640953799	2425.1322613726	1740.4354706111	1293.0883283149	1903.357669053	2374.4703934986
mmu-mir-30b_5p	30.176876977	38.1933990012	38.3256966576	119.2723016018	27.0929744935	20.0010184691	27.1764839035
mmu-mir-30a_5p	30.0162087527	50.7349641235	159.8156182104	14.5575457579	24.8942841592	8.3625380303	47.7280481105
mmu-mir-301b_3p	2.92841061	0.8940081784	1.3948994108	1.6175050842	22.065388232	17.8254100119	23.65829971
mmu-mir-301a_3p	9.5173344826	2.9055265798	9.3657531869	2.9654259877	76.3801900339	94.6287198165	49.373842873
mmu-mir-29c_3p	6.1008554375	126.5021572417	313.8523674332	194.370194286	1052.3492849117	568.2124524795	304.8834797405
mmu-mir-29a_3p	1319.4930140325	21740.0438779214	24444.0180037626	32443.3778107446	22221.5432871997	18359.7321787203	31373.5798318937
mmu-mir-27b_3p	1942.6911871435	3788.5881248447	2486.5524104554	4230.7909864234	12223.7548543854	7572.8498543725	11961.0219583758
mmu-mir-27a_3p	549.8743104203	845.9502719126	915.8065238647	1248.5074863417	3509.9985134152	2566.2873737785	3544.2162228402
mmu-mir-212_5p	2.6843763925	21.0091921921	6.9744970541	35.0459434912	19.2364923048	35.4307532336	58.8371627569
mmu-mir-200a_3p	5.1247185675	21.9032003705	62.7704734866	21.5667344561	88.8273321135	10.563205933	3.4973138702
mmu-mir-192_5p	1913.7163336494	2142.0435954148	4567.4984850387	1749.0621643936	1276.3978423445	1280.3485857961	2096.1253543023
mmu-mir-186_5p	106.8869872658	180.8131540787	184.9238076051	179.5430643474	524.1944153068	1277.2676507323	259.4183994283
mmu-mir-150_5p	71.7460599455	1814.6131000806	1217.5479142963	1375.1489057601	350.7830949706	71.7417736283	78.5866999061
mmu-mir-130b_3p	571.0400689543	81.3547442332	212.8217958214	107.0249197386	702.9806379047	398.5409571806	466.3770908041
mmu-mir-130a_3p	2.6843763925	0.4470040892	1.3948994108	1.0783367228	1.980227149	4.4013358054	9.463319884
