miRNA	DP	SP_CD4	SP_CD8	SP_nTreg	Th1	Th2	Th17
mmu-mir-92b_3p	124.7	172.99	68.15	229.15	137.77	172.97	210.87
mmu-mir-382_3p	0.49	1.56	0.6	3.24	0	0	1.03
mmu-mir-363_3p	429.01	107.28	155.03	276.86	917.69	77.24	36.82
mmu-mir-340_5p	375.32	250.1	1085.63	212.43	1644.72	1250.42	643.92
mmu-mir-331_3p	41.24	78	42.84	78.99	155.59	61.4	264.97
mmu-mir-330_5p	0.49	5.36	5.18	5.93	13.01	18.49	14.19
mmu-mir-326_3p	0	0.89	2.59	5.93	16.69	20.69	19.96
mmu-mir-324_5p	1.71	3.58	4.38	22.38	59.41	33.45	25.92
mmu-mir-32_5p	0.49	3.58	3.39	4.58	6.51	2.64	4.94
mmu-mir-30e_5p	717.7	375.04	457.73	202.46	544.56	364.21	572.12
mmu-mir-30d_5p	3152.68	2743.26	2425.13	1740.44	1293.09	1903.36	2374.47
mmu-mir-30b_5p	30.18	38.19	38.33	119.27	27.09	20	27.18
mmu-mir-30a_5p	30.02	50.73	159.82	14.56	24.89	8.36	47.73
mmu-mir-301b_3p	2.93	0.89	1.39	1.62	22.07	17.83	23.66
mmu-mir-301a_3p	9.52	2.91	9.37	2.97	76.38	94.63	49.37
mmu-mir-29c_3p	6.1	126.5	313.85	194.37	1052.35	568.21	304.88
mmu-mir-29a_3p	1319.49	21740.04	24444.02	32443.38	22221.54	18359.73	31373.58
mmu-mir-27b_3p	1942.69	3788.59	2486.55	4230.79	12223.75	7572.85	11961.02
mmu-mir-27a_3p	549.87	845.95	915.81	1248.51	3510	2566.29	3544.22
mmu-mir-212_5p	2.68	21.01	6.97	35.05	19.24	35.43	58.84
mmu-mir-200a_3p	5.12	21.9	62.77	21.57	88.83	10.56	3.5
mmu-mir-192_5p	1913.72	2142.04	4567.5	1749.06	1276.4	1280.35	2096.13
mmu-mir-186_5p	106.89	180.81	184.92	179.54	524.19	1277.27	259.42
mmu-mir-150_5p	71.75	1814.61	1217.55	1375.15	350.78	71.74	78.59
mmu-mir-130b_3p	571.04	81.35	212.82	107.02	702.98	398.54	466.38
mmu-mir-130a_3p	2.68	0.45	1.39	1.08	1.98	4.4	9.46
