"","N1","N2","N3","T1","T2","T3","U1","U2","U3","U87"
"hsa-mir-6859-1_1",0,0,1.31983839900787,0,0,0,2.4308383514083,1.11799199723358,0,0
"hsa-miR-6859-5p_2",0,0,1.31983839900787,0,0,0,0,1.11799199723358,0,0
"hsa-miR-6859-3p_3",0,0,0,0,0,0,2.4308383514083,0,0,0
"hsa-mir-1302-2_4",0,0,0,0,0,0,0,0,0,0
"hsa-miR-1302_5",0,0,0,0,0,0,0,0,0,0
"hsa-mir-6723_6",73.6299727735011,101.848437618787,81.829980738488,57.8458611213691,78.5062125415665,79.5632051409827,42.1345314244105,38.0117279059417,33.2817986254055,240.73410772132
"hsa-miR-6723-5p_7",28.9691696158037,20.5863863272016,21.1174143841259,20.5394724271528,22.7005915782843,31.6707903959251,22.6878246131441,19.0058639529708,15.6008431056588,60.6293308335176
"hsa-mir-200b_8",77.2511189754765,44.4232547060665,72.5911119454329,197.430439044673,183.496448591131,131.317911397738,163.676448994825,201.238559502044,182.009836232686,101.643289926779
"hsa-miR-200b-5p_9",0,0,1.31983839900787,1.25751872002976,1.89171596485702,0.772458302339638,1.62055890093887,0,1.04005620704392,0
"hsa-miR-200b-3p_10",77.2511189754765,44.4232547060665,71.2712735464251,196.172920324643,181.604732626274,130.545453095399,162.055890093887,201.238559502044,180.969780025642,101.643289926779
"hsa-mir-200a_11",20.519828477861,24.9203623960861,30.356283177181,69.163529601637,55.8056209632822,54.8445394661143,59.960679334738,72.6694798201826,73.8439907001184,3.56643122550103
"hsa-miR-200a-5p_12",4.82819493596728,1.08349401722113,2.63967679801574,5.44924778679564,3.78343192971405,1.54491660467928,4.8616767028166,11.1799199723358,5.2002810352196,0
"hsa-miR-200a-3p_13",15.6916335418937,23.836868378865,27.7166063791653,64.1334547215179,52.0221890335681,53.299622861435,55.0990026319214,61.4895598478468,68.6437096648988,3.56643122550103
"hsa-mir-429_14",10.8634386059264,6.50096410332681,11.8785455910708,17.1860891737401,17.0254436837132,10.8144162327549,18.636427360797,30.1857839253066,22.8812365549663,0
"hsa-miR-429_15",10.8634386059264,5.41747008610567,11.8785455910708,17.1860891737401,17.0254436837132,10.8144162327549,17.8261479103275,30.1857839253066,22.8812365549663,0
"hsa-mir-6726_16",6.0352436699591,7.58445812054794,1.31983839900787,2.93421034673611,7.56686385942809,2.31737490701891,6.48223560375546,2.23598399446716,3.12016862113176,1.78321561275052
"hsa-miR-6726-5p_17",0,0,1.31983839900787,0.419172906676588,0.945857982428512,0.772458302339638,0.810279450469433,0,1.04005620704392,0
"hsa-miR-6726-3p_18",6.0352436699591,7.58445812054794,0,2.51503744005953,6.62100587699958,1.54491660467928,5.67195615328603,2.23598399446716,2.08011241408784,1.78321561275052
"hsa-mir-6727_19",0,0,1.31983839900787,0,0,1.54491660467928,0,0,0,0
"hsa-miR-6727-5p_20",0,0,0,0,0,1.54491660467928,0,0,0,0
