miRNA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48
hsa-miR-27a-3p,34676.909256,22919.853184,40028.403898,33726.12849,19116.028022,13738.775355,84253.514358,79761.499669,11481.241149,3518.089794,21009.699524,12518.586288,58580.258324,149977.11465,18428.73995,8413.522071,20778.995541,34386.01152,17605.789683,5064.862584,27144.543294,30463.38994,5966.44695,11970.011102,13329.92304,34408.043127,46619.420118,24911.504,9043.954095,34165.013696,28185.594192,9696.861165,22921.986048,5034.70287,2669.178368,5552.622109,10989.93987,45659.208294,2751.505625,48598.326574,4534.070661,8606.35179,16389.13102,46582.14987,15133.053084,7056.131056,19361.476572,69728.313867
hsa-miR-27b-3p,161639.141532,306209.449976,229880.151146,314000.657625,74062.54397,184483.104255,334634.38639,231341.528537,44209.489728,142496.652951,110336.622925,119485.329048,329214.41588,170476.378965,64648.55781,24085.769066,109274.345967,96650.92416,98294.00055,109459.577269,225772.994502,165521.61302,49398.003325,55447.18158,111254.72928,182315.180487,84029.832119,100265.852,24211.91201,241853.981668,116707.259916,119549.37907,114266.697376,27683.19561,25711.0528,21810.52466,65382.24582,95076.903051,22715.171875,248044.978396,40806.635949,56656.517697,115857.62496,114729.369408,147015.154806,60286.434468,117827.503224,91164.200969
hsa-miR-125a-5p,2669.41017,5042.790576,27198.171196,1667.07099,6932.185986,29699.408655,71477.861068,7882.644112,30436.583679,1731.012309,3842.258133,2312.312472,13308.667876,3867.033525,8560.620514,1560.234402,27316.892736,21331.12128,10559.117289,25310.697698,2757.327408,36839.852359,30358.95305,1330.538825,25639.48704,162147.016993,11727.441454,5011.8168,5028.627879,6794.17886,5820.6402,1668.92582,1275.930864,39268.22793,100.723712,1887.329068,5165.17884,143899.566885,1146.193125,8070.67888,224.138097,29591.70273,80420.11278,68533.738092,11975.460864,6239.473188,173168.791284,66927.280549
hsa-miR-126-5p,4932.053076,8235.500752,48822.158896,6739.52631,63979.364354,11890.097685,287326.087426,26704.467808,8367.850692,256533.220935,6979.432892,5284.436472,134708.787864,11162.571,5606.641468,9221.600462,40101.361137,93905.73696,11871.51918,111038.943021,3841.764102,22934.41524,7110.69705,4069.029643,1868.6808,16677.729574,30795.579577,124988.4536,25581.921112,14133.144412,20283.219144,2412.9048,11087.913824,52405.70367,5452.333568,2431.029826,5216.273235,88614.415305,1348.4625,20699.457082,518.488128,15986.593188,8662.15468,14327.84295,15138.900477,6135.934948,1605.482132,383952.004893
hsa-miR-186-5p,0,236757.43176,538409.834698,537651.76698,296096.884298,271577.639205,1605641.912242,771192.051886,95572.247751,473035.906206,213073.518091,298888.677936,814685.864426,614180.60295,208086.032142,76828.961763,326820.334497,298154.44288,362048.661084,231206.892393,641860.425558,307477.535229,165725.55615,197485.829891,304470.39168,466152.903819,225680.661565,221364.0968,87993.096125,484390.51218,390592.348668,291086.80281,415274.45752,77514.78855,95024.8704,55613.713166,172699.0551,313295.079015,64549.615625,681110.270116,93209.042844,144107.26947,325478.63354,262410.55623,389436.3738,217025.210636,369648.970478,544938.855048
hsa-miR-29c-3p,96149.612028,10719.894432,21637.717216,28988.512215,13824.62971,12900.555045,44150.025876,151801.225514,4472.020362,22524.184458,20737.483791,41918.836896,152625.72024,55653.3897,24078.42665,5600.626357,9850.883442,23703.50528,15944.866128,11157.674429,42973.956432,8669.903943,10384.523725,20756.40567,45821.23968,11502.070527,9587.719897,9504.152,5754.669569,17257.840496,35293.623048,28105.314035,10065.676816,3871.90434,2343.151616,7039.987401,18054.901215,38225.087775,5143.42125,67454.36723,2668.053492,6417.430353,8797.99064,11786.594526,25424.464764,18011.771076,12503.622432,22589.680619
hsa-miR-582-5p,0,8547.371448,961.06612,149.608935,488.262076,126.30717,65.797356,593.209187,193.154613,203.236263,459.642959,101.052216,5585.216574,87.705915,102.232426,397.048898,338.75115,13.55648,130.695624,0,159.723234,382.240254,108.9762,38.706584,35.59392,76.353242,6.311863,147.58,6.313406,281.78622,349.238412,45.241965,141.770096,18.40842,2.650624,24.997736,4.644945,143.108703,6.42125,605.300916,21.603672,47.158092,88.81582,0,70.168716,19.41342,0,188.670638
hsa-miR-20a-3p,1499.954286,607.88356,1894.673208,854.9082,601.811396,264.09681,2149.380296,2181.803281,389.583033,1962.28116,312.37871,677.644272,1327.180176,1793.984625,274.413354,142.602069,1890.231417,1064.18368,1072.793247,1130.063426,1345.03776,561.777343,417.7421,653.173605,522.04416,1543.426249,694.30493,182.9992,284.10327,1603.050496,671.085576,432.31211,492.464544,607.47786,227.953664,131.238114,418.04505,1822.752954,157.320625,2301.977726,186.331671,558.037422,511.99708,844.12098,806.940234,374.031892,595.410592,986.892568
hsa-miR-29a-5p,0,148.006432,144.159918,448.826805,153.291582,114.8247,570.243752,201.08786,52.380912,91.105911,44.62553,17.832744,101.381819,231.224685,53.80654,8.388357,169.375575,155.89952,49.010859,129.344609,159.723234,52.123671,81.73215,48.38323,29.6616,283.597756,56.806767,47.2256,63.13406,125.23832,20.543436,0,59.692672,42.95298,13.25312,12.498868,9.28989,15.064074,9.631875,238.451876,35.105967,90.386343,41.79568,142.167744,116.94786,12.94228,47.845494,333.801898
hsa-miR-200b-5p,0,5.285944,0,0,0,0,0,0,0,0,0,0,0,7.973265,5.380654,2.796119,0,0,0,0,16.812972,0,0,0,0,10.907606,0,0,0,25.047664,6.847812,20.10754,0,3.06807,0,0,0,0,0,18.342452,5.400918,0,10.44892,0,0,44.003752,0,0
hsa-miR-501-3p,0,26.42972,226.537014,1788.182985,306.583164,63.153585,855.365628,2101.368137,94.940403,63.073323,303.453604,398.264616,1520.727285,685.70079,129.135696,111.84476,677.5023,108.45184,76.239114,102.114165,1025.591292,671.816204,31.784725,251.592796,237.2928,365.404801,37.871178,336.4824,59.977357,194.119396,438.259968,623.33374,246.232272,33.74877,10.602496,134.362831,143.993295,429.326109,57.79125,1439.882482,297.05049,200.421891,88.81582,39.984678,982.362024,155.30736,303.021462,123.361571
hsa-miR-1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3202,0,47.573496,350.102658,498.69645,141.93665,292.802985,1864.25842,1156.255195,58.928526,294.342174,84.788507,202.104432,368.66116,223.25142,161.41962,39.145666,121.950414,230.46016,114.358671,258.689218,428.730786,272.201393,45.40675,82.251491,326.2776,114.529863,18.935589,200.7088,41.037139,356.929212,95.869368,191.02163,365.617616,98.17824,55.663104,28.122453,139.34835,406.729998,38.5275,596.12969,21.603672,82.526661,428.40572,93.297582,175.42179,54.357576,308.337628,261.236268
hsa-miR-4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3074-5p,0,163.864264,363.832174,420.329865,85.16199,625.794615,405.750362,1216.581553,62.202333,448.521408,89.25106,261.546912,534.558682,518.262225,166.800274,44.737904,67.75023,142.34304,163.36953,217.843552,697.738338,422.780887,54.4881,691.880189,344.07456,207.244514,138.860986,171.1928,3.156703,745.168004,582.06402,155.833435,97.000592,61.3614,286.267392,90.616793,232.24725,248.557221,70.63375,1018.006086,64.811016,86.456502,282.12084,328.762908,502.875798,217.430304,303.021462,181.414075
