circrna,N1,N2,N3,N4,N5,T1,T2,T3,T4,T5
chr7:100635176-100642893(-),0,0,0,0,0,0,0,0,4.0571754404,0
chr6:107824861-107827631(-),1.2856780257,3.0428815803,1.0142938601,0,0,0,0,0,0,0
chr1:46521467-46546422(-),1.2856780257,2.0285877202,3.0428815803,1.9920335961,1.0605857781,0,0,0,0,0
chr8:15395374-15395538(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr15:75815462-75819602(-),1.2856780257,1.0142938601,3.0428815803,3.9840671921,1.0605857781,0,0,0,0,0
chr5:31507609-31513349(+),0,0,0,0,0,0,0,0,0,6.0857631605
chr15:78837211-78839040(+),2.5713560513,0,1.0142938601,0,0,0,0,0,0,0
chr1:219366424-219385094(+),0,0,3.0428815803,0,1.0605857781,0,0,0,0,0
chr22:22160139-22162135(-),0,0,1.0142938601,10.624179179,3.1817573342,0,0,0,0,0
chr2:202172242-202173973(-),1.2856780257,1.0142938601,0,4.6480783908,0,0,0,0,0,0
chr21:45066815-45066988(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr1:167971720-167974031(+),0,0,2.0285877202,0,1.0605857781,0,0,0,0,0
chr1:54506429-54509198(-),2.5713560513,0,0,0,2.1211715561,0,0,0,0,0
chr7:51609306-51609623(+),0,0,0,0,0,3.0428815803,0,0,0,0
chr6:75887379-75906814(-),0,1.0142938601,0,0,2.1211715561,0,0,0,0,0
chr9:4860125-4860901(+),0,4.0571754404,0,2.6560447947,2.1211715561,0,0,0,0,0
chr22:40749077-40750331(+),1.2856780257,1.0142938601,0,0,4.2423431122,0,0,0,0,0
chr3:77555778-77555934(-),0,0,0,0,0,0,3.0428815803,0,0,0
chr5:54929582-54952602(-),0,0,0,0,2.1211715561,0,0,0,0,0
chrX:105846939-105847102(+),0,0,0,0,0,0,0,0,0,16.2287017615
chr9:80409379-80430686(-),0,5.0714693005,0,0,1.0605857781,0,0,0,0,0
chr3:112059749-112080508(+),0,2.0285877202,0,0,2.1211715561,0,0,0,0,0
chr2:32515552-32526564(+),1.2856780257,0,3.0428815803,0,1.0605857781,0,0,0,0,0
chr20:32827160-32859508(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr2:63978763-63978998(+),0,0,0,0,0,0,0,0,0,22.314464922
chr1:70541760-70573509(+),1.2856780257,5.0714693005,0,1.9920335961,2.1211715561,0,0,0,0,0
chr14:96986392-96994343(+),0,0,3.0428815803,0,3.1817573342,0,0,0,0,0
chr19:4202023-4202923(+),2.5713560513,0,1.0142938601,0,1.0605857781,0,0,0,0,0
chrM:13803-14450(+),0,0,0,0,0,0,0,0,0,12.1715263211
chr11:46780473-46786806(-),0,0,0,10.624179179,0,0,0,0,0,0
chr7:101183174-101183330(+),2.5713560513,1.0142938601,0,1.3280223974,0,0,0,0,0,0
chr8:139817122-139817768(+),0,0,0,0,0,0,0,0,2.0285877202,0
chr1:21039947-21042132(-),2.5713560513,2.0285877202,0,5.9761007882,0,0,0,0,0,0
chr8:95822035-95822219(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr19:35172023-35223911(+),0,0,0,0,0,0,0,3.0428815803,0,0
chr5:135483521-135489852(+),20.5708484104,16.2287017615,16.2287017615,26.5604479474,10.6058577806,0,0,0,0,0
chr5:130840319-130883883(-),3.857034077,1.0142938601,2.0285877202,10.624179179,2.1211715561,0,0,0,0,0
chr12:121097999-121118298(+),0,0,0,1.9920335961,0,0,0,0,0,0
chr9:99277931-99327765(-),1.2856780257,2.0285877202,1.0142938601,0,0,0,0,0,0,0
chr7:131060183-131130662(+),0,2.0285877202,0,0,0,0,0,0,0,0
chr8:41518948-41521260(-),15.4281363078,4.0571754404,3.0428815803,1.3280223974,0,0,0,0,0,0
chr11:85707869-85714494(-),8.9997461796,2.0285877202,7.1000570206,13.9442351724,2.1211715561,0,0,0,0,0
